,original text,fwd_translated,rev_translated
14, I have a great suggestion: my class should go to the gun range for an end-of-year outing.,Tengo una gran sugerencia: mi clase debería ir al campo de tiro para una excursión de fin de año.,I have a great suggestion: my class should go to the shooting range for a year-end excursion.
15, MrMcShine has more than 700 tweets and more than 50 followers. The expression on his face is unspecified.,MrMcShine tiene más de 700 tweets y más de 50 seguidores. La expresión en su cara no está especificada.,MrMcShine has more than 700 tweets and more than 50 followers.The expression on his face is not specified.
16," @mimikatelouise, Tuesday is coming soon and time will pass quickly until then, putting us on a safer ground.","@mimikatelouise, el martes llegará pronto y el tiempo pasará rápidamente hasta entonces, poniéndonos en un terreno más seguro.","@mimikatelouise, Tuesday will arrive soon and time will pass quickly until then, putting us on safer ground."
17, Transform your beverage into a frozen dessert.,Transforma tu bebida en un postre congelado.,Transform your drink into a frozen dessert.
18," I can relate, this has occurred to me frequently.","Puedo decir, esto se me ha ocurrido con frecuencia.","I can say, this has occurred to me often."
19," Hey Stella, have you seen Rob around? I need to go check on the Origin game. Do you think we're losing badly?","Oye Stella, ¿has visto a Rob por aquí? Tengo que ir a ver el juego de Origen. ¿Crees que estamos perdiendo mal?","Hey, Stella, have you seen Rob around here?"
20, Thank you @kamla for introducing me to the 1941 version of Maltese Falcon. I will check it out the next time I am buying DVDs. Cheers.,Gracias @kamla por presentarme a la versión de 1941 de Maltese Falcon. Lo revisaré la próxima vez que compre DVDs. Salud.,Thank you @kamla for introducing me to the 1941 version of Maltese Falcon. I will review it the next time I buy DVDs. Cheers.
21, @tommcfly Are you enjoying reading the Twilight series? I've read all the books and think they're amazing. Please answer and make me happy ❤️,"@tommcfly ¿Te gusta leer la serie Crepúsculo? He leído todos los libros y creo que son increíbles. Por favor, responde y hazme feliz.",@tommcfly Do you like reading the Twilight series? I have read all the books and I think they are amazing. Please respond and make me happy.
22," Honorsociety, you always make me laugh. You appear adorable, not fatigued.","La sociedad de honor, siempre me haces reír, pareces adorable, no fatigada.","The society of honor, you always make me laugh, you seem adorable, not fatigued."
23," @bronzeshiney stated that they zoomed in closely and are capable of multitasking, as indicated by their laughter.","@bronzeshiney declaró que se acercaron de cerca y son capaces de realizar múltiples tareas, como lo indica su risa.","@bronzeshiney stated that they approached closely and are able to perform multiple tasks, as indicated by their laughter."
24," @GoDJewels, I am very shy and frightened, so I won't do it.","@GoDJewels, soy muy tímida y asustada, así que no lo haré.","@GoDJewels, I'm very shy and scared, so I won't."
25, The two things I love the most are Fuzzball and the Lakers.,Las dos cosas que más amo son Fuzzball y los Lakers.,The two things I love the most are Fuzzball and the Lakers.
26," I'm eating one of Liz's cupcakes she left, do you want the plate back? They're okay, unlike last time when I had a burnt one. XXXX","Estoy comiendo uno de los cupcakes de Liz que dejó, ¿quieres el plato de vuelta? Están bien, a diferencia de la última vez que me quemé uno. XXXX","I'm eating one of Liz's cupcakes she left, you want the plate back? They're fine, unlike the last time I burned one. XXXX"
27," @lowrobb, I'm confident that I have emerged victorious in this particular area.","@lowrobb, estoy seguro de que he salido victorioso en esta área en particular.","@lowrobb, I'm sure I've come out victorious in this particular area."
28," Manually entering game codes is taking a long time, but it will be worth it.","La introducción manual de códigos de juego está tomando mucho tiempo, pero valdrá la pena.","The manual introduction of game codes is taking a long time, but it will be worth it."
29," Right now, Sarah and Zoe are also reading the book ""The Witches.""","Ahora mismo, Sarah y Zoe también están leyendo el libro ""Las brujas"".","Right now, Sarah and Zoe are also reading the book ""The Witches."""
30," @youngstud07 discovered it, included it, but it's still not accessible!","@youngstud07 lo descubrió, incluido, ¡pero todavía no es accesible!","@youngstud07 discovered it, including, but not yet accessible!"
31, I enjoyed kissing a pig despite the swine flu.,Disfruté besando a un cerdo a pesar de la gripe porcina.,I enjoyed kissing a pig despite the swine flu.
32," @doodlebugdebz, I haven't received my allowance yet. @carlacharisse, next year, I'm going to pursue B.Ed. in the University of Auckland.","@doodlebugdebz, todavía no he recibido mi asignación. @carlacharisse, el año que viene, voy a buscar a B.Ed. en la Universidad de Auckland.","@doodlebugdebz, I haven't received my assignment yet. @carlacharisse, next year, I'm going to look for B.Ed. at Auckland University."
33," Crafters, I have craft supplies for you. #craft","Artesanos, tengo suministros de artesanía para ti. #craft","Craftsmen, I have craft supplies for you. #craft"
34," I apologize, I got distracted by a word in your message but realized it was just my imagination.","Lo siento, me distraje con una palabra en tu mensaje pero me di cuenta de que era sólo mi imaginación.","I'm sorry, I got distracted by a word in your message, but I realized it was just my imagination."
35," @mommapurvis I'm down to hang out, but I'm not sure if I'll have enough money to drink. Lol","@mommapurvis Estoy aquí para pasar el rato, pero no estoy seguro de si voy a tener suficiente dinero para beber. Lol","@mommapurvis I'm here to hang out, but I'm not sure if I'm gonna have enough money to drink."
36," @onedavidnet, I am surprised that I have just discovered OneDavid, but you guys are amazing! I am willing to offer my help with any designing needs you may have.","@onedavidnet, Estoy sorprendido de que acabo de descubrir OneDavid, pero ustedes son increíbles! Estoy dispuesto a ofrecer mi ayuda con cualquier necesidad de diseño que pueda tener.","@onedavidnet, I am surprised that I just discovered OneDavid, but you are amazing! I am willing to offer my help with any design needs you may have."
37," The song ""Whatcha Say"" by Jason Derulo is being played on repeat.","La canción ""Whatcha Say"" de Jason Derulo se está reproduciendo en repetición.","Jason Derulo's song ""Whatcha Say"" is playing in replay."
38," Hi @backyardpoultry, good morning! I wish for you to have better weather today.","Hola @backyardpoultry, buenos días! Deseo que tengas un mejor clima hoy.","Hello @backyardpoultry, good morning! I wish you had a better climate today."
39, Consuming spicy curry and potato wedges that are paired with a hot cup of tea.,Consumiendo curry picante y cuñas de patata que se emparejan con una taza de té caliente.,Consuming spicy curry and potato wedges that are paired with a cup of hot tea.
40," All the best tomorrow, dear @MarathonMaritza! I'll be keeping you in my thoughts.","Todo lo mejor mañana, querido @MarathonMaritza! Te mantendré en mis pensamientos.","All the best tomorrow, dear @MarathonMaritza! I will keep you in my thoughts."
41, I won't be traveling to Ireland anymore because I found out more about the trip and I don't want to go without Jenny for three months.,Ya no viajaré a Irlanda porque he averiguado más sobre el viaje y no quiero ir sin Jenny durante tres meses.,I'm not going to Ireland anymore because I've found out more about the trip and I don't want to go without Jenny for three months.
42," I'm still feeling excited from Elton's show last night, and my family brought some cake for our continued birthday celebrations. However, it's worth noting that my actual birthday isn't until Monday.","Todavía me siento emocionado por el show de Elton anoche, y mi familia trajo un poco de pastel para nuestras celebraciones de cumpleaños. Sin embargo, vale la pena notar que mi cumpleaños real no es hasta el lunes.","I'm still excited about Elton's show last night, and my family brought some cake for our birthday celebrations. However, it's worth noting that my real birthday isn't until Monday."
43," @THEArtistT Maybe I can recall my initial logo, but it's possible since I haven't made as many as you.","@THEArtistT Tal vez pueda recordar mi logotipo inicial, pero es posible ya que no he hecho tantos como tú.","@THEArtistT Maybe I can remember my initial logo, but it's possible since I haven't done as many as you have."
44, I apologize that you have to sit next to that individual.,Pido disculpas por tener que sentarse al lado de ese individuo.,I apologize for having to sit next to that individual.
45," I agree with your idea, but since you don't participate in those sports, it's not very useful. Nonetheless, I still appreciate the suggestion.","Estoy de acuerdo con su idea, pero como usted no participa en esos deportes, no es muy útil. Sin embargo, todavía aprecio la sugerencia.","I agree with your idea, but since you do not participate in those sports, it is not very useful. However, I still appreciate the suggestion."
46, I'm trying to apply for jobs but I despise filling out job applications.,"Estoy tratando de solicitar trabajo, pero detesto llenar las solicitudes de empleo.","I'm trying to apply for a job, but I hate filling out job applications."
47," @Tigressreow, is it not clear? Haha. I am receiving live tweets from inside thanks to @RobPattzNews.","@Tigresgreow, ¿no está claro? Haha. Estoy recibiendo tuits en vivo desde adentro gracias a @RobPattzNews.","@Tigresgreow, isn’t that clear? Haha. I’m getting live tweets from inside thanks to @RobPattzNews."
48, There is a high amount of wind in the Lakes District according to @twinkle_x's tweet.,Hay una gran cantidad de viento en el Distrito de los Lagos según el tuit de @twinkle_x.,There is a lot of wind in the Lake District according to @twinkle_x's tweet.
49," Michelle, Jael, and I are unable to gain entry into your party.","Michelle, Jael y yo no podemos entrar en tu fiesta.","Michelle, Jael and I can't get into your party."
50, @ChiefEditor4SAU is joking about knowing who to greet and who to buy drinks for.,@ChiefEditor4SAU está bromeando sobre saber a quién saludar y para quién comprar bebidas.,@ChiefEditor4SAU is joking about knowing who to greet and who to buy drinks for.
51," @tprolificjones, awesome to have caught up with you. Something tells me I'll be back soon.","@tprolificjones, increíble haberte alcanzado. Algo me dice que volveré pronto.","@tprolificjones, incredible to have reached you. Something tells me I'll be back soon."
52, @diginux is almost reaching the 2-mile mark and expresses gratitude.,@diginux está casi alcanzando la marca de 2 millas y expresa gratitud.,@diginux is almost reaching the 2-mile mark and expresses gratitude.
53, @matt303 @pickoo Just ask if you want some.,@matt303 @pickoo Solo pregunta si quieres un poco.,@matt303 @pickoo Just ask if you want some.
54," ""Anyone know why my new background isn't showing up after I uploaded it?""","""¿Alguien sabe por qué mi nuevo historial no aparece después de que lo subí?""","""Does anyone know why my new record doesn't show up after I brought it up?"""
55," @thorbenl This is impressive, looks like it will greatly assist me in organizing my social media experience!","@thorbenl ¡Esto es impresionante, parece que me ayudará mucho a organizar mi experiencia en las redes sociales!","@thorbenl This is awesome, it looks like it will help me a lot to organize my experience on social media!"
56," ""Laughing out loud and it's hitting me strongly now! Although, I have finished smoking the blunts.""","""Riendo en voz alta y me está golpeando fuertemente ahora! Aunque, he terminado de fumar los romos.""","""Rinking out loud and he's hitting me hard now! Although, I'm done smoking the romos."""
57, @fstorr attempted to watch the initial episodes but didn't enjoy it. He's considering initiating Jeeves & Wooster tomorrow!,"@fstorr intentó ver los episodios iniciales, pero no lo disfrutó. ¡Está considerando iniciar Jeeves & Wooster mañana!","@fstorr tried to see the initial episodes, but did not enjoy it. He is considering starting Jeeves & Wooster tomorrow!"
58, Follow @ZombieAssassin and he will make sure the rest of his team follows you too.,Siga a @ZombieAssassin y se asegurará de que el resto de su equipo también te siga.,Follow @ZombieAssassin and make sure the rest of your team also follows you.
59," I was born in the year of the rat, feel free to chuckle.","Nací en el año de la rata, siéntase libre de reírse.","I was born in rat year, feel free to laugh."
60," Here we go, I'm starting to babysit two 8-year-old girls for a 10-hour shift.","Aquí vamos, estoy empezando a cuidar a dos chicas de 8 años para un turno de 10 horas.","Here we go, I'm starting to take care of two 8-year-old girls for a 10-hour shift."
61," ""What channel and time is it airing? Please tell me, I want to watch you!"" - @shaundiviney","""¿Qué canal y tiempo se está ventilando? ¡Por favor, dime, quiero verte!"" - @shaundiviney","""What channel and time is ventilating? Please tell me, I want to see you!"" - @shaundiviney"
62," @Trumpette2, I am happy that you enjoyed it. I personally found it exceptionally magnificent.","@Trumpette2, estoy feliz de que lo disfrutaras. Personalmente lo encontré excepcionalmente magnífico.","@Trumpette2, I am happy that you enjoyed it. I personally found it exceptionally magnificent."
63," @aspenstudio's sentiment is to throw paint at someone, grab a bucket of fish, and save them by going to the lake.","El sentimiento de @aspenstudio es tirar pintura a alguien, agarrar un cubo de pescado y salvarlos yendo al lago.","The feeling of @aspenstudio is to throw paint at someone, grab a bucket of fish and save them by going to the lake."
64," @bikerbar I use the situation to my advantage and stay up during most full moon nights - as I rarely sleep during those times, there's no harm in being watchful.","@bikerbar Uso la situación a mi favor y me quedo despierto durante la mayoría de las noches de luna llena - ya que rara vez duermo durante esos momentos, no hay daño en ser vigilante.","@bikerbar I use the situation in my favor and stay awake during most nights of full moon - as I rarely sleep during those moments, there is no harm in being vigilant."
65," Hello, @daisy_thomas. A few spoilers for the finale have been uploaded on YouTube, but I am still excited to watch it.","Hola, @daisy_thomas. Algunos spoilers para el final han sido subidos en YouTube, pero todavía estoy emocionado de verlo.","Hello, @daisy_thomas. Some spoilers for the end have been uploaded on YouTube, but I'm still excited to see it."
66," I'm upset that @miszsarahz and @faye_tan were both at Bourke St, so close to my workplace, but didn't come to visit me.","Me molesta que @miszsarahz y @faye_tan estuvieran en Bourke St, tan cerca de mi lugar de trabajo, pero no vinieron a visitarme.","It bothers me that @miszsarahz and @faye_tan were in Bourke St, so close to my workplace, but they didn't come to visit me."
67," I won't have anyone to go with me to see that, but it looks like fun!","No tendré a nadie que vaya conmigo a ver eso, ¡pero parece divertido!","I won't have anyone come with me to see that, but it looks like fun!"
68," @NewerDeal, you're being rude and irrelevant by saying ""bananas don't shoot."" Shut up and stop being nasty.","@NewerDeal, estás siendo grosero e irrelevante diciendo ""los Bananas no disparan"". Cállate y deja de ser desagradable.","@NewerDeal, you're being rude and irrelevant saying ""Bananas don't shoot."" Shut up and stop being nasty."
69," Every time I go to Target, it's a disaster. I end up purchasing unnecessary items. This time I bought a charming dress and shirt.","Cada vez que voy a Target, es un desastre. Termino comprando artículos innecesarios. Esta vez compré un vestido encantador y camisa.","Every time I go to Target, it's a mess. I end up buying unnecessary items. This time I bought a lovely dress and shirt."
70," @ingvild1211, I am no longer consuming fast food and only drinking Dr. Pepper until my stone is removed as it is too large to pass.","@ingvild1211, ya no estoy consumiendo comida rápida y solo estoy bebiendo Dr. Pepper hasta que mi piedra sea removida ya que es demasiado grande para pasar.","@ingvild1211, I am no longer consuming fast food and I am only drinking Dr. Pepper until my stone is removed as it is too big to pass."
71," Currently viewing a film about Shangri-la and feeling nostalgic for the place; the sky seemed so close, one could almost touch the clouds.","Actualmente viendo una película sobre Shangri-la y sintiéndose nostálgico por el lugar; el cielo parecía tan cerca, que casi se podía tocar las nubes.","Currently watching a film about Shangri-la and feeling nostalgic about the place; the sky seemed so close, you could almost touch the clouds."
72," @IsadoraR, it's unbelievable! I'm aware of the situation and disheartened. How is this happening? Detroit had so many opportunities! Let's go!","@IsadoraR, es increíble! Soy consciente de la situación y descorazonado. ¿Cómo está pasando esto? Detroit tenía tantas oportunidades! Vamos!","@IsadoraR, it’s amazing! I’m aware of the situation and disheartened. How is this happening? Detroit had so many opportunities! Come on!"
73," @beanchef agrees and adds that Disney doesn't seem interested in non-university/TAFE students. They think it's lame, but @beanchef loves Disney a lot.","@beanchef está de acuerdo y añade que Disney no parece interesado en estudiantes no universitarios/TAFE. Creen que es patético, pero @beanchef ama mucho a Disney.","@beanchef agrees and adds that Disney doesn’t seem interested in non-university students/TAFE. They think it’s pathetic, but @beanchef loves Disney very much."
74," @mlydy, that hurt. You didn't have to reveal that you heavily edited my profile picture. *crying*","@mlydy, eso dolió. No tenías que revelar que editaste fuertemente mi foto de perfil. *Llorando*","@mlydy, that hurt. You didn't have to reveal that you heavily edited my profile photo. *Crying*"
75, @pokernut expresses gratitude and mentions being tired but unable to sleep. They are currently sorting through photos from a recent trip and found it to be a wonderful experience. They express a desire to return soon.,@pokernut expresa gratitud y menciona estar cansado pero no poder dormir. Actualmente están ordenando fotos de un viaje reciente y encontraron que era una experiencia maravillosa. Expresan un deseo de volver pronto.,@pokernut expresses gratitude and mentions being tired but unable to sleep. They are currently ordering photos from a recent trip and found it to be a wonderful experience. They express a desire to return soon.
76," @emmarossx excellent, but I don't want to be in this town for too long, I hate it.","@emmarossx excelente, pero no quiero estar en esta ciudad por mucho tiempo, lo odio.","@emmarossx excellent, but I don't want to be in this city for long, I hate it."
77, Yay! Only six days left! I'm heading to town to meet my friend and we plan to do some serious shopping!,Me voy a la ciudad a conocer a mi amigo y planeamos hacer algunas compras serias.,I'm going to the city to meet my friend and we plan on doing some serious shopping.
78," @linhamin, feel free to return it whenever you like.","@linhamin, siéntete libre de devolverlo cuando quieras.","@linhamin, feel free to return it whenever you want."
79," @JessicaHowerth I am hesitant to speculate about what happened to that place, but I have very positive feelings towards it.","@JessicaHowerth Estoy vacilante en especular sobre lo que le pasó a ese lugar, pero tengo sentimientos muy positivos hacia él.","@JessicaHowerth I am hesitant to speculate about what happened to that place, but I have very positive feelings for it."
80, I was able to resist spending money (for the time being). It's probably a good time to have lunch though.,Fui capaz de resistirme a gastar dinero (por el momento). Probablemente es un buen momento para almorzar.,I was able to resist spending money (for the moment). It’s probably a good time for lunch.
81," @Heidi_range, I just want to let you know that you and your group were fantastic at my summer ball last night. Thanks for making it an incredible evening x.","@Heidi_range, solo quiero que sepas que tú y tu grupo fueron fantásticos en mi baile de verano de anoche. Gracias por hacer de ella una noche increíble x.","@Heidi_range, I just want you to know that you and your group were fantastic at my summer dance last night. Thank you for making it an amazing night x."
82," Time for Pilates! Now, I need to scour the world for my white tank top.","¡Hora de Pilates! Ahora, necesito buscar en el mundo mi camiseta blanca.","Now, I need to search the world for my white shirt."
83," We filmed in Hoboken, which is one of the four things we're known for.","Filmamos en Hoboken, que es una de las cuatro cosas por las que somos conocidos.","We filmed in Hoboken, which is one of the four things we're known for."
84," It's tough to accept that while someone hasn't tasted Mr. Cerpa's carne asada, they have experienced sexual activity.","Es difícil aceptar que mientras que alguien no ha probado la carne del Sr. Cerpa asada, han experimentado actividad sexual.","It is difficult to accept that while someone has not tasted Mr.Cerpa's roast meat, they have experienced sexual activity."
85," A new ad for a 1984 Toyota Hiace in Brisbane priced at $3,900 will soon be posted on the HCC site.","Un nuevo anuncio para un Toyota Hiace 1984 en Brisbane con un precio de $3,900 pronto será publicado en el sitio HCC.","A new announcement for a 1984 Toyota Hiace in Brisbane with a price of $3,900 will soon be posted on the HCC site."
86," I am extremely tired, but also happy because my test is finally finished.","Estoy muy cansado, pero también feliz porque mi prueba finalmente ha terminado.","I'm very tired, but also happy because my test is finally over."
87, Reminder to oneself: complete English essay and be attentive during class.,Recordatorio a uno mismo: completar el ensayo inglés y estar atento durante la clase.,Remind yourself: complete the English essay and be attentive during the class.
88," @antsrants expressed gratitude for having a skilled friend who is a professional guitar technician, hoping that the problem with their own guitar will be resolved soon. They also added a ""ouch"" emoji, possibly indicating that something went wrong with the instrument.","@antsrants expresó su gratitud por tener un amigo experto que es un técnico profesional de guitarra, esperando que el problema con su propia guitarra se resuelva pronto. También agregaron un emoji ""ouch"", indicando posiblemente que algo salió mal con el instrumento.","@antsrants expressed gratitude for having an expert friend who is a professional guitar technician, hoping that the problem with his own guitar will be resolved soon. They also added an emoji ""ouch"", indicating possibly that something went wrong with the instrument."
89, I need to start writing the article on Zhang Yin.,Necesito empezar a escribir el artículo sobre Zhang Yin.,I need to start writing the article about Zhang Yin.
90," Oh dear Jesus, I would treat her very well! I would buy her flowers and cook her a grilled cheese, haha.","Oh querido Jesús, la trataría muy bien! Le compraría flores y le cocinaría un queso a la parrilla, jaja.","Oh dear Jesus, I would treat her very well! I would buy her flowers and cook her a grilled cheese, haha."
91," I found it amusing when I found out who Anton was playing in the movie. I haven't had the chance to rewatch the first three movies yet, but I need to do so before I watch the fourth one.","Me pareció divertido cuando me enteré de que Anton estaba tocando en la película. No he tenido la oportunidad de volver a ver las tres primeras películas todavía, pero tengo que hacerlo antes de ver la cuarta.","I thought it was fun when I found out Anton was playing in the movie. I haven’t had a chance to see the first three movies again yet, but I have to do it before I see the fourth."
92, Looks like tonight's plans are cancelled due to my child's fever.,Parece que los planes de esta noche se cancelan debido a la fiebre de mi hijo.,Looks like tonight's plans are canceled because of my son's fever.
93," Kelly Rowland gave an amazing performance on 'This Morning', and the person who tweeted adores the song. She is also praised as a rockstar.","Kelly Rowland dio una actuación increíble en 'This Morning', y la persona que tuiteó adora la canción. También es elogiada como una estrella de rock.","Kelly Rowland gave an amazing performance on 'This Morning', and the person who tweeted loves the song. She is also praised as a rock star."
94, I am extremely exhausted and am eagerly looking forward to the end of my work day.,Estoy extremadamente exhausto y con ansias espero el final de mi jornada de trabajo.,I am extremely exhausted and looking forward to the end of my workday.
95, You can imagine that things will be alright if you are intoxicated enough.,Usted puede imaginar que las cosas estarán bien si usted está lo suficientemente intoxicado.,You can imagine that things will be fine if you are intoxicated enough.
96, @farebad acknowledged and expressed gratitude for a statement. They mentioned that they have not slept yet and are considering putting sheets on their bed and doing laundry.,@farebad reconoció y expresó su gratitud por una declaración. Mencionaron que aún no han dormido y están considerando poner sábanas en su cama y lavar la ropa.,@farebad acknowledged and expressed gratitude for a statement. They mentioned that they have not yet slept and are considering putting sheets on their bed and washing clothes.
97, @LilaiPiolin's Twitter account is experiencing technical difficulties and may not be able to send updates at the moment. She apologizes for any inconvenience.,La cuenta de Twitter de @LilaiPiolin está experimentando dificultades técnicas y puede que no pueda enviar actualizaciones en este momento. Se disculpa por cualquier inconveniente.,The Twitter account of @LilaiPiolin is experiencing technical difficulties and may not be able to send updates at this time. He apologizes for any inconvenience.
98," Spending the night with Lici and Laysia, reminiscing about old times. Goodnight.","Pasando la noche con Lici y Laysia, recordando los viejos tiempos. Buenas noches.","Spending the night with Lici and Laysia, remembering the old days."
99, I'm signing off for the night. Thanks for keeping me company while I was busy. Time to go to sleep...,"Gracias por hacerme compañía mientras estaba ocupado, es hora de dormir.","Thanks for keeping me company while I was busy, it's bedtime."
100, I'm finally going to sleep but I have a lot on my mind and I have to wake up at 6:00 tomorrow. Ugh!,Por fin me voy a dormir pero tengo muchas cosas en la cabeza y tengo que despertar a las 6:00 de mañana.,"I'm finally going to sleep, but I have a lot on my mind and I have to wake up at 6:00 tomorrow."
101," Wow, there's an overwhelming number of excellent musicians and vocalists!","¡Vaya, hay un número abrumador de excelentes músicos y vocalistas!","Wow, there's an overwhelming number of excellent musicians and vocalists!"
102, I am looking for a new profile picture on Twitter because everyone else's looks so nice compared to mine. I am determined to find the perfect one.,Estoy buscando una nueva foto de perfil en Twitter porque todo el mundo se ve muy bien en comparación con el mío. Estoy decidido a encontrar el perfecto.,I’m looking for a new profile photo on Twitter because everyone looks great compared to mine. I’m determined to find the perfect one.
103," I have a poster of him on my wall, which my mom bought for me. She thought I needed a boy in my life and sadly, she is right. Lol.","Tengo un póster de él en mi pared, que mi mamá compró para mí. Ella pensó que necesitaba un niño en mi vida y tristemente, ella tiene razón. Lol.","I have a poster of him on my wall, which my mom bought for me. She thought I needed a child in my life and sadly, she's right."
104," I recently logged in and was delighted to hear our shoutout. Thank you, Becky, you're my favorite girl at the moment.","Gracias, Becky, eres mi chica favorita en este momento.","Thanks, Becky, you're my favorite girl right now."
105," I am feeling bored and discontent with my current situation and yearning for something different, but unfortunately, I can't escape reality.","Me siento aburrido y descontento con mi situación actual y anhelo algo diferente, pero desafortunadamente, no puedo escapar de la realidad.","I feel bored and unhappy with my current situation and I yearn for something different, but unfortunately, I cannot escape from reality."
106," @Jchawes, what if you lose the remote for your car? I couldn't find mine and was stuck without a way into my car – use your keys, idiot.","@Jchawes, ¿qué pasa si pierdes el control remoto para tu coche? No pude encontrar el mío y estaba atascado sin una manera en mi coche – usa tus llaves, idiota.","@Jchawes, what if you lose the remote for your car? I couldn’t find mine and I was stuck without a way in my car – use your keys, idiot."
107, Being kind to unknown people becomes a habit. Keep yourself hydrated to prevent smile-induced wrinkles!,Ser amable con personas desconocidas se convierte en un hábito. Manténgase hidratado para prevenir las arrugas inducidas por la sonrisa!,Being kind to strangers becomes a habit. Stay hydrated to prevent smile-induced wrinkles!
108," I understand now. I had originally thought she had written it in a letter, but now I see that is not the case.","Lo entiendo ahora. Originalmente pensé que ella lo había escrito en una carta, pero ahora veo que no es el caso.","I get it now. I originally thought she wrote it in a letter, but now I see it’s not the case."
109," @stephaniecea, I definitely don't like her at all! Lol","@stephanecea, definitivamente no me gusta en absoluto! Lol","@stephanecea, I definitely don't like it at all! Lol"
110," @daraobriain, where can we secure audience tickets for MTW? I always can't seem to locate any online.","@daraobriain, ¿dónde podemos asegurar entradas de audiencia para MTW? Siempre parece que no puedo localizar ninguna en línea.","@daraobriain, where can we secure audience entries for MTW? It always seems like I can't locate any online."
111," @amykate has said that although it's good to take rest, she doesn't need to rest much as she prefers staying occupied. She also asked about @amykate's day and mentioned that it hasn't rained yet.","@amykate ha dicho que aunque es bueno descansar, no necesita descansar tanto como prefiere permanecer ocupada. También preguntó sobre el día de @amykate y mencionó que todavía no ha llovido.","@amykate has said that although it is good to rest, he does not need to rest as much as he prefers to stay busy. He also asked about @amykate day and mentioned that it has not yet rained."
112," @scodal, I saw the work seems difficult, but can you update me on what's happening handsome?","@scodal, vi que el trabajo parece difícil, pero ¿puedes ponerme al día sobre lo que está pasando guapo?","@scodal, I saw that the job seems difficult, but can you update me on what's going on handsome?"
113," @dark_victory, is it a worthwhile watch? I haven't seen it yet.","@dark_victory, ¿es un reloj que vale la pena? Aún no lo he visto.","@dark_victory, is it a watch that's worth it? I haven't seen it yet."
114, I'm preparing my breakfast but I called work to inform them that I won't be able to work for two weeks. They might consider firing me.,Estoy preparando mi desayuno pero llamé al trabajo para informarles que no podré trabajar durante dos semanas.,"I'm making my breakfast, but I called work to inform you that I won't be able to work for two weeks."
